User,Time_Theory,Time_Quiz,Time_Forum,Time_Assignment,Cluster
125,0,0,0,0,cluster4
126,40,1,309,18,cluster3
127,51,17,12,56,cluster2
128,17,0,155,28,cluster3
129,16,9,13,20,cluster1
130,0,0,181,0,cluster4
131,1,0,0,0,cluster4
133,0,0,0,0,cluster4
136,16,3,45,0,cluster4
137,4,0,1,0,cluster4
138,3,0,1,0,cluster4
139,0,0,0,1,cluster1
140,11,14,68,10,cluster2
141,45,1,456,11,cluster3
142,37,8,0,17,cluster1
145,104,6,319,42,cluster6
147,6,0,10,0,cluster4
148,11,0,0,0,cluster4
149,13,0,2,11,cluster1
150,31,5,0,4,cluster1
151,0,0,0,0,cluster4
152,40,18,1,7,cluster1
153,23,0,0,26,cluster1
156,32,0,299,61,cluster2
157,18,0,2,25,cluster1
158,14,1,449,15,cluster3
160,2,0,1,0,cluster4
161,18,8,3,13,cluster1
162,22,19,24,11,cluster1
165,0,0,0,0,cluster4
167,0,0,10,0,cluster4
170,4,0,2,0,cluster4
171,25,18,8,87,cluster2
172,0,0,36,0,cluster4
173,15,0,948,0,cluster3
174,24,24,4,56,cluster2
175,1,0,5,0,cluster4
176,26,0,737,25,cluster3
177,99,0,579,46,cluster6
178,0,0,0,0,cluster4
179,62,1,1,69,cluster2
180,8,4,87,0,cluster4
181,0,0,19,0,cluster4
182,60,30,0,33,cluster1
184,17,8,8,5,cluster1
185,0,0,1,3,cluster1
187,83,11,1,0,cluster1
188,5,5,0,0,cluster4
189,6,1,9,0,cluster4
190,62,4,741,40,cluster6
192,69,8,30,7,cluster2
193,52,49,990,65,cluster6
194,7,0,2,0,cluster4
195,19,3,1,0,cluster1
196,4,0,0,0,cluster4
198,54,15,10,14,cluster1
199,50,4,7,50,cluster2
200,33,0,0,22,cluster1
201,66,7,90,70,cluster2
202,148,1,2,58,cluster0
203,37,0,0,5,cluster1
204,15,2,23,1,cluster3
207,74,15,3,49,cluster2
208,53,25,271,0,cluster6
209,0,0,177,0,cluster4
210,8,0,6,0,cluster4
211,26,5,17,15,cluster1
212,10,0,2,2,cluster1
213,131,20,102,4,cluster6
214,0,0,7,0,cluster4
215,40,3,13,10,cluster1
216,0,0,24,0,cluster4
217,0,0,0,0,cluster4
219,17,3,71,7,cluster3
220,80,1,2648,0,cluster5
221,145,14,14,18,cluster6
222,25,0,186,45,cluster2
223,21,0,47,37,cluster2
224,3,10,0,17,cluster1
225,20,0,187,8,cluster3
226,0,0,118,0,cluster4
227,67,8,54,42,cluster2
229,27,25,544,50,cluster6
230,18,6,0,4,cluster1
231,30,0,2,12,cluster1
232,74,1,384,6,cluster6
233,32,10,258,10,cluster2
235,32,6,157,28,cluster2
236,22,2,668,11,cluster3
237,94,3,0,25,cluster1
238,37,10,2,1,cluster1
239,34,21,0,27,cluster1
240,11,0,557,0,cluster3
241,103,20,97,82,cluster2
242,4,0,23,0,cluster4
243,6,0,0,0,cluster4
244,0,0,0,0,cluster4
